run_id,ticker,horizon,W_star,rho_train,rho_test
20260303T231001Z,CAT,31,300,0.6265390681014917,-0.2963487332339791
20260303T231001Z,CAT,42,300,0.6431316621074576,-0.1856096296463269
20260303T231001Z,CB,10,280,0.37177813998755765,-0.1717974881485151
20260303T231001Z,CB,21,300,0.35016741216636393,-0.33309667431804835
20260303T231001Z,CB,31,300,0.36028512050111894,-0.4853339655873186
20260303T231001Z,CB,42,300,0.3797701030394035,-0.48088271757996526
20260303T231001Z,CBOE,10,300,0.3881560137141901,0.09622352475214328
20260303T231001Z,CBOE,21,300,0.5082374523945953,0.2573213046495489
20260303T231001Z,CBOE,31,300,0.5725888432414314,0.4528722395339384
20260303T231001Z,CBOE,42,300,0.6268887434262042,0.538218785925208
20260303T231001Z,CBRE,10,300,0.5275534611381941,-0.07496578937993383
20260303T231001Z,CBRE,21,300,0.5761482175943189,-0.0037847648534671437
20260303T231001Z,CBRE,31,300,0.6080458874205638,0.04199295488416203
20260303T231001Z,CBRE,42,300,0.6234804604666456,0.14005815657191806
20260303T231001Z,CCI,10,300,0.2149055335608197,-0.22965856439035945
20260303T231001Z,CCI,21,300,0.2731182906639354,-0.3249666364170181
20260303T231001Z,CCI,31,300,0.3006896551724138,-0.29288036851375143
20260303T231001Z,CCI,42,300,0.3285505449796414,-0.4020242093636589
20260303T231001Z,CCL,10,300,0.6437394617290628,0.2976187731956387
20260303T231001Z,CCL,21,300,0.7131482750231214,0.2820637377889287
20260303T231001Z,CCL,31,300,0.7442904200681575,0.2394932935916542
20260303T231001Z,CCL,42,300,0.7746125775900917,0.1952753420643329
20260303T231001Z,CDNS,10,40,0.3261243976942295,0.07433630656147305
20260303T231001Z,CDNS,21,40,0.27939067400195855,0.005994973240132174
20260303T231001Z,CDNS,31,40,0.24105509899566627,0.07554628832046312
20260303T231001Z,CDNS,42,40,0.2039535608565395,0.14233144458639166
20260303T231001Z,CDW,10,200,0.5186316645116995,0.34721962912582804
20260303T231001Z,CDW,21,180,0.6069793571816074,0.5290783532536519
20260303T231001Z,CDW,31,180,0.617463739919217,0.45205068413291727
20260303T231001Z,CDW,42,300,0.6327067174317605,0.35413745688975046
20260303T231001Z,CEG,10,20,0.020815852937350676,0.15243774245178093
20260303T231001Z,CEG,21,20,0.012680869765979876,0.22756966790115962
20260303T231001Z,CEG,31,20,0.06917724459191003,0.15807233542131666
20260303T231001Z,CEG,42,20,-0.0188796712214287,0.445060353920075
20260303T231001Z,CF,10,260,0.10948403574975961,0.13365069854518274
20260303T231001Z,CF,21,260,0.10055648452863541,0.2635370917032664
20260303T231001Z,CF,31,260,0.10920583613627015,0.45613641591902465
20260303T231001Z,CF,42,240,0.12623231517214442,0.3685260837439928
20260303T231001Z,CFG,10,280,0.36992020216559274,0.031688167991182126
20260303T231001Z,CFG,21,300,0.37695812302341936,0.1872631185608285
20260303T231001Z,CFG,31,300,0.383662187383647,0.31727408210269603
20260303T231001Z,CFG,42,300,0.3937581367545521,0.3501431372991006
20260303T231001Z,CHD,10,20,0.10172673967693624,0.08555212539613233
20260303T231001Z,CHD,21,20,-0.06030092201272691,0.2191312433994583
20260303T231001Z,CHD,31,20,-0.1058572869131204,0.23542728998399529
20260303T231001Z,CHD,42,20,-0.05631889720547239,0.23733054432664555
20260303T231001Z,CHRW,10,280,0.09118934985310133,0.32148114276681894
20260303T231001Z,CHRW,21,260,0.06739657747554612,0.28203614371085034
20260303T231001Z,CHRW,31,260,0.04024117164037429,0.27564124683689906
20260303T231001Z,CHRW,42,260,-0.043791142782557906,0.3175447797679897
20260303T231001Z,CHTR,10,100,0.5252631472674831,-0.017140673216346273
20260303T231001Z,CHTR,21,300,0.6098313254620725,0.13040623498638765
20260303T231001Z,CHTR,31,300,0.6450019248874909,0.5337013954748677
20260303T231001Z,CHTR,42,300,0.6321765827531195,0.7076933480603206
20260303T231001Z,CI,10,300,0.27877086541369217,0.44865682714049515
20260303T231001Z,CI,21,300,0.36576337558156147,0.7210270645385148
20260303T231001Z,CI,31,300,0.4322226324081488,0.612471209863162
