run_id,ticker,W_star,h_star,rho_train,rho_test
20260303T233831Z,L,300,60,0.6992144096508542,-0.018556478584529076
20260303T233831Z,LDOS,40,25,0.36744836568303385,0.2695437159861516
20260303T233831Z,LEN,180,10,0.3296825889486651,0.026009446152029204
20260303T233831Z,LH,300,60,0.7069863457341052,0.7077662870089237
20260303T233831Z,LHX,140,60,0.5609658050442485,0.38903448880930264
20260303T233831Z,LII,300,60,0.6730270518753435,-0.2668803846924464
20260303T233831Z,LIN,300,25,0.6047155868313683,-0.038836942257217844
20260303T233831Z,LLY,300,60,0.4677672390558188,-0.6255105343464389
20260303T233831Z,LMT,100,60,0.1812196366304761,-0.24536603023135992
20260303T233831Z,LNT,180,10,0.44490906373807626,0.32566543688294064
20260303T233831Z,LOW,280,50,0.42196634069614203,0.52479834512476
20260303T233831Z,LRCX,300,45,0.34551169232938234,-0.9106663531809008
20260303T233831Z,LULU,300,45,0.5332531177016452,-0.6951057034816513
20260303T233831Z,LUV,300,60,0.6607098302278379,0.5276266510488109
20260303T233831Z,LVS,300,60,0.6738674766238881,0.3276513108210163
20260303T233831Z,LW,300,60,0.605063888867044,-0.9086047192639056
20260303T233831Z,LYB,300,60,0.4750083466963882,-0.2501733890233189
20260303T233831Z,LYV,260,10,0.2916538332160792,0.03237184878340571
20260303T233831Z,MA,200,10,0.35847502714343643,-0.0006676429409989074
20260303T233831Z,MAA,100,60,0.6823110775748941,0.8540751990738086
20260303T233831Z,MAR,300,60,0.522230308766998,-0.8435799824299123
20260303T233831Z,MAS,300,40,0.612418800391196,0.6902911128574846
20260303T233831Z,MCD,300,25,0.6179830833296509,0.13835184664416947
20260303T233831Z,MCHP,300,35,0.4284280062268638,-0.32878508594464173
20260303T233831Z,MCK,180,60,0.3373932099482442,0.1531474458842836
20260303T233831Z,MCO,300,60,0.6207279749091514,0.5219086663686944
20260303T233831Z,MDLZ,300,15,0.40705371157618153,0.3492215356469468
20260303T233831Z,MDT,300,60,0.5018253349223631,0.2627961099209346
20260303T233831Z,MET,280,60,0.5340683634472659,-0.357604127515632
20260303T233831Z,META,300,50,0.7352291562785959,-0.5918937410588575
20260303T233831Z,MGM,300,60,0.6770950565394845,-0.6763559021623538
20260303T233831Z,MKC,20,15,0.2190988038921493,0.16896743922491747
20260303T233831Z,MLM,300,60,0.6069523512661598,-0.6812416195305395
20260303T233831Z,MMM,300,60,0.8107412152360989,0.6532836027927191
20260303T233831Z,MNST,300,60,0.5930057901408178,-0.09043971456313672
20260303T233831Z,MO,280,5,0.2380114236403419,-0.18176126232904247
20260303T233831Z,MOH,40,30,0.07532096622744422,0.16836108034169786
20260303T233831Z,MOS,240,60,0.36710345552546964,0.23973988340543606
20260303T233831Z,MPC,260,60,0.6390072508093392,0.699008103186488
20260303T233831Z,MPWR,280,45,0.43674945009369404,-0.3143747656542932
20260303T233831Z,MRK,20,15,0.15111228537151158,0.1560008526119848
20260303T233831Z,MRNA,260,10,-0.11190710202493988,-0.059696575501303334
20260303T233831Z,MRSH,200,15,0.5470960134580689,0.11356437018059745
20260303T233831Z,MS,280,60,0.5314880978370956,-0.17028564594936277
20260303T233831Z,MSCI,300,60,0.44561196119125757,0.6008045250681996
20260303T233831Z,MSFT,60,10,0.4271950805143497,-0.11861354979117762
20260303T233831Z,MSI,300,25,0.631294043305695,-0.3208192725909261
20260303T233831Z,MTB,280,60,0.48083726986125935,-0.7462671267981003
20260303T233831Z,MTCH,300,60,0.5908143444501082,-0.5181942881802629
20260303T233831Z,MTD,300,55,0.6789513098131688,0.1605564906374921
20260303T233831Z,MU,300,35,0.1586301285303405,-0.15436317043564265
20260303T233831Z,NCLH,300,60,0.771525289953866,-0.34747160273106975
20260303T233831Z,NDAQ,300,60,0.6937600669737488,0.6728418846230907
20260303T233831Z,NDSN,120,5,0.2822769498090565,0.21654389406504523
20260303T233831Z,NEE,40,10,0.3068131379410993,0.02421846202980752
20260303T233831Z,NEM,300,60,-0.03687373861221069,-0.7308848234514433
20260303T233831Z,NFLX,300,35,0.38038129574581225,0.5418183997961904
20260303T233831Z,NI,300,15,0.4582639703357601,0.044472343047025215
20260303T233831Z,NKE,300,60,0.8536864873598485,-0.03581831912827705
20260303T233831Z,NOC,140,60,0.14954252107977928,-0.062012818292049195
20260303T233831Z,NOW,300,45,0.5075109910922091,0.5341699484707773
20260303T233831Z,NRG,140,5,0.12887173109537828,0.05071919202978793
20260303T233831Z,NSC,300,20,0.5184482506425151,0.29413053800357936
20260303T233831Z,NTAP,300,60,0.5312820597144464,-0.4350600311329624
20260303T233831Z,NTRS,280,60,0.6570591419753431,-0.11335292308743637
20260303T233831Z,NUE,280,5,0.12719381937174512,0.04054283859131994
20260303T233831Z,NVDA,300,40,0.47583786571627523,-0.6312570471862508
20260303T233831Z,NVR,300,60,0.6296842839749862,0.649230152736464
20260303T233831Z,NWS,300,60,0.5756185313102989,-0.8508083781576068
20260303T233831Z,NWSA,300,60,0.5638266332179213,-0.8533514171662839
20260303T233831Z,NXPI,300,30,0.4683431554849487,-0.5650665353693234
20260303T233831Z,O,300,60,0.6591854768197762,-0.7276482283494905
20260303T233831Z,ODFL,300,25,0.6847994660994512,-0.20723776715410575
20260303T233831Z,OKE,300,60,0.7452824900965642,-0.8377849359616539
20260303T233831Z,OMC,280,60,0.6421675596831693,-0.530332798031913
20260303T233831Z,ON,240,20,0.4350014174288581,-0.07248969156064347
20260303T233831Z,ORCL,260,20,0.4305928801788075,0.0269655183798992
20260303T233831Z,ORLY,120,30,0.5496230090438328,0.42864897917483114
20260303T233831Z,OTIS,160,50,0.7818816158130889,-0.02745904496340188
20260303T233831Z,OXY,300,60,0.6417095678520286,0.1754542792410955
20260303T233831Z,PANW,280,10,0.23934429129600251,-0.011630614724773166
20260303T233831Z,PAYC,300,55,0.4859801754697458,-0.6259336208710288
20260303T233831Z,PAYX,280,60,0.5445640458785382,-0.2088188061639389
20260303T233831Z,PCAR,60,15,0.2898941555987221,0.33859447799286396
20260303T233831Z,PCG,300,15,0.41067192441026207,-0.21803069053708438
20260303T233831Z,PEG,300,45,0.7041874152319005,-0.6932443817472912
20260303T233831Z,PEP,100,10,0.40189137276248044,0.09262653311716061
20260303T233831Z,PFE,20,50,0.08100422128694883,0.20141745845806291
20260303T233831Z,PFG,300,60,0.8277334090195793,0.02749564600896999
